0x0000 Reserved
0x0004 InfoString 
0x0006 RoutingContext 
0x0007 DiagnosticInformation 
0x0009 HeartbeatData 
0x000b TrafficModeType 
0x000c ErrorCode 
0x000d Status 
0x0011 ASPIdentifier 
0x0012 AffectedPointCode 
0x0013 CorrelationId 
0x0200 NetworkAppearance 
0x0204 UserCause 
0x0205 CongestionIndications 
0x0206 ConcernedDestination 
0x0207 RoutingKey 
0x0208 RegistrationResult 
0x0209 DeregistrationResult 
0x020a LocalRoutingKeyIdentifier
0x020b DestinationPointCode 
0x020c ServiceIndicators 
0x020f OriginatingPointCodeList 
0x0210 ProtocolData 
0x0212 RegistrationStatus 
0x0213 DeregistrationStatus 
